Entry number,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),Redshift,SED Class,Log Î½Sync. Z corr. (Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Spectral Index,Spectral Type,Power Law Index,Radio flux (mJy),X Flux (erg cm-2 s-1),USNO Vmag,SDSS Vmag,Seq,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,GLON,GLAT,z,u_z,Rmag,Class,FR,F143,FX,FF,aro,RA_deg,DEC_deg,Separation
35,3FGL J0029.1- 7045,PKS 0026-710,5BZBJ0028-7045,bll,7.173177696,-70.7544241,0.0,ISP,14.23,1.0,0.93,0.0,12.06,6.6322287E-10,2.2845,PowerLaw,2.28,260.0,0,17.437,0.0,80,5BZB J0028-7045,0,28,41.53,-,70,45,15.8,305.63,-46.26,0.0," ",16.7,BL Lac,94.0,0,0.0,7.0E-10,0.525,7.173041666666667,-70.75438888888888,0.205239269003436
37,3FGL J0030.3- 4223,PKS 0027-426,5BZQJ0030-4224,fsrq,7.572885817,-42.41291134,0.495,LSP,13.414,1.0,0.92,0.0,28.75,1.212056E-9,2.5805,PowerLaw,2.58,424.8,0,18.6463,0.0,84,5BZQ J0030-4224,0,30,17.48,-,42,24,46.4,317.32,-74.13,0.495," ",18.2,QSO RLoud flat radio sp.,425.0,0,0.46,1.0E-9,0.687,7.572833333333333,-42.41288888888889,0.16121922652104387
40,3FGL J0032.3- 2852,PMN J0032-2849,5BZBJ0032-2849,bll,8.1379283,-28.8219896,0.324,ISP,14.702,0.98,0.81,0.0,4.89,2.2694559E-10,2.1895,PowerLaw,2.19,160.7332,0,17.1802,0.0,88,5BZB J0032-2849,0,32,33.06,-,28,49,20.31,9.74,-85.51,0.324," ",16.2,BL Lac,160.0,0,0.17,0.0,0.401,8.13775,-28.822308333333332,1.2778387972049676
41,3FGL J0033.6- 1921,KUV 00311-1938,5BZBJ0033-1921,bll,8.393250683,-19.35920325,0.61,HSP,16.127,1.0,0.87,0.97,39.22,2.7719498E-9,1.7148,PowerLaw,1.71,18.8922,1.49e- 11,16.2586,0.0,89,5BZB J0033-1921,0,33,34.36,-,19,21,32.9,94.17,-81.22,0.0," ",16.3,BL Lac,19.0,0,8.43,3.1E-9,0.221,8.393166666666668,-19.35913888888889,0.36757829061583547
42,3FGL J0035.2+1513,RX J0035.2+1515,5BZBJ0035+1515,bll,8.811350471,15.25115366,0.0,HSP,15.102,1.0,0.0,0.92,14.0,8.2903812E-10,1.8064,PowerLaw,1.81,18.8015,7.33e- 12,17.063,16.36,91,5BZB J0035+1515,0,35,14.7,+,15,15,4.21,117.15,-47.44,0.0," ",16.8,BL Lac,18.0,0,3.02,1.1E-9,0.249,8.811250000000001,15.251169444444445,0.353553722674103
43,3FGL J0037.9+1239,NVSS J003750+123818,5BZBJ0037+1238,bll,9.462001046,12.63885527,0.089,HSP,15.407,1.0,0.86,0.82,13.34,9.0294805E-10,2.1515,PowerLaw,2.15,75.6788,7.96e- 13,14.3867,15.32,96,5BZB J0037+1238,0,37,50.87,+,12,38,20.0,117.76,-50.1,0.0," ",16.0,BL Lac,75.0,0,0.33,1.1E-9,0.253,9.461958333333333,12.63888888888889,0.19276843313202827
44,3FGL J0038.0+0012,NVSS J003808+001336,5BZBJ0038+0013,bll,9.535455021,0.226807031,0.0,LSP,13.94,1.0,0.82,0.0,7.45,4.187414E-10,2.1565,PowerLaw,2.16,96.1486,0,19.6691,18.61,97,5BZB J0038+0013,0,38,8.48,+,0,13,36.58,115.72,-62.46,0.74,?,19.3,BL Lac,96.0,0,0.0,4.0E-10,0.586,9.535333333333332,0.2268277777777778,0.44439349784954746
45,3FGL J0038.0- 2501,PKS 0035-252,5BZQJ0038-2459,fsrq,9.561397946,-24.98395424,1.196,LSP,12.758,1.0,0.87,0.0,10.1,4.7668991E-10,2.4389,PowerLaw,2.44,412.9883,2.41e- 12,17.291,0.0,98,5BZQ J0038-2459,0,38,14.72,-,24,59,2.18,68.11,-86.35,0.498," ",19.1,QSO RLoud flat radio sp.,413.0,508,1.37,8.0E-10,0.761,9.561333333333334,-24.98393888888889,0.21796222512496954
48,3FGL J0039.1- 0939,TXS 0036-099,5BZQJ0039-0942,fsrq,9.776215271,-9.713024686,2.1015,LSP,13.014,0.98,0.0,0.0,4.76,2.348487E-10,2.594,PowerLaw,2.59,154.0639,0,19.6655,0.0,102,5BZQ J0039-0942,0,39,6.28,-,9,42,46.79,112.86,-72.35,2.102," ",20.7,QSO RLoud flat radio sp.,154.0,0,0.0,0.0,0.804,9.776166666666667,-9.71299722222222,0.19879684839640402
49,3FGL J0040.3+4049,B3 0037+405,5BZUJ0040+4050,bcu I,10.056244,40.834811,0.0,-,0.0,1.0,0.82,0.89,6.38,8.7253024E-11,1.1323,PowerLaw,1.13,48.1528,2.55e- 12,19.1557,0.0,105,5BZU J0040+4050,0,40,13.8,+,40,50,4.7,120.64,-21.99,0.0," ",19.9,Blazar Uncertain type,47.0,0,1.05,0.0,0.53,10.0575,40.83463888888889,3.476694173201322
50,3FGL J0040.5- 2339,PMN J0040-2340,5BZGJ0040-2340,bcu I,10.1037829,-23.6669243,0.213,ISP,14.442,1.0,0.0,0.0,4.32,1.8839813E-10,1.9462,PowerLaw,1.95,53.675,0,16.5395,0.0,107,5BZG J0040-2340,0,40,24.89,-,23,40,0.58,86.62,-85.74,0.213,?,17.3,BL Lac-galaxy dominated,53.0,0,0.09,0.0,0.388,10.103708333333334,-23.66682777777778,0.425665207521638
51,3FGL J0041.9+3639,RX J0042.0+3641,5BZBJ0042+3641,bll,10.5342397,36.6868656,0.0,HSP,16.5,1.0,0.0,0.87,4.63,2.1891897E-10,1.9758,PowerLaw,1.98,11.9769,3.68e- 12,18.0337,18.02,112,5BZB J0042+3641,0,42,8.09,+,36,41,12.98,120.85,-26.15,0.0," ",18.5,BL Lac,12.0,0,1.52,0.0,0.383,10.533708333333331,36.68693888888888,1.5565182363852008
52,3FGL J0042.0+2318,PKS 0039+230,5BZQJ0042+2320,fsrq,10.5189382,23.33362831,1.426,LSP,12.62,0.99,0.92,0.0,6.09,3.6210165E-10,2.3544,PowerLaw,2.35,1269.8168,0,0.0,20.06,111,5BZQ J0042+2320,0,42,4.55,+,23,20,1.28,120.14,-39.49,1.426," ",20.6,QSO RLoud flat radio sp.,1269.0,0,0.0,8.0E-10,0.976,10.518958333333332,23.333688888888886,0.2280127594005196
55,3FGL J0043.8+3425,GB6 J0043+3426,5BZQJ0043+3426,fsrq,10.95351295,34.44058118,0.966,ISP,14.104,1.0,0.89,0.0,22.65,1.6137297E-9,2.0447,PowerLaw,2.04,93.4095,0,19.9936,19.11,117,5BZQ J0043+3426,0,43,48.89,+,34,26,25.9,121.14,-28.41,0.966," ",19.9,QSO RLoud flat radio sp.,93.0,0,0.0,1.9E-9,0.665,10.953708333333335,34.440527777777774,0.6111138359149509
