Entry number,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),Redshift,SED Class,Log νSync. Z corr. (Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Spectral Index,Spectral Type,Power Law Index,Radio flux (mJy),X Flux (erg cm-2 s-1),USNO Vmag,SDSS Vmag
1611,3FGL J0217.3+6209,TXS 0213+619,,bcu III,34.2604918,62.1927425,0,-,0,0,0.8,0,11.48,0.0000000022938709,2.7264,LogParabola,2.47,155.1435,0,0,0
1612,3FGL J0223.3+6820,NVSS J022304+682154,,bcu II,35.76890583333334,68.36527638888887,0,HSP,15.8,0.99,0,0,8.54,0.00000000058849825,1.915,PowerLaw,1.91,20.06,0,0,0
1613,3FGL J0223.5+6313,TXS 0219+628,,bcu III,35.8736295,63.1217691,0,-,0,0.95,0,0,7.92,0.0000000012810043,2.776,LogParabola,2.48,124.4238,0,0,0
1614,3FGL J0228.5+6703,GB6 J0229+6706,,bcu III,37.3441,67.11042,0,-,0,0.95,0,0,4.91,0.00000000047546073,2.619,PowerLaw,2.62,27.1337,0,0,0
1615,3FGL J0241.3+6542,TXS 0237+655,,bcu II,40.34061035,65.71988312,0,HSP,15.5,0,0.9,0.91,11.91,0.0000000011780142,2.0797,PowerLaw,2.08,190.9478,4.16e- 12,0,0
1616,3FGL J0250.6+5630,NVSS J025047+562935,,bcu II,42.69830351,56.49317389,0,HSP,16.138,0,0,0.89,7.78,0.0000000007169661,1.9904,PowerLaw,1.99,35.7966,3.43e- 12,0,0
1617,3FGL J0253.8+5104,NVSS J025357+510256,5BZQJ0253+5102,fsrq,43.49003317,51.04901549,1.732,LSP,12.936,1,0.91,0,13.2,0.000000001199685,2.5441,PowerLaw,2.54,429.7454,0,0,0
1618,3FGL J0302.0+5335,GB6 J0302+5331,,bcu II,45.59473107,53.52957908,0,HSP,15.988,0.96,0,0,5.51,0.00000000053650501,2.378,PowerLaw,2.38,187.1479,0,0,0
1619,3FGL J0303.6+4716,4C +47.08,5BZBJ0303+4716,bll,45.8968426,47.27118763,0,ISP,14,1,0.96,0,27.27,0.0000000022730628,2.2835,PowerLaw,2.28,963.7859,0,0,0
1620,3FGL J0304.9+6817,TXS 0259+681,,bcu II,46.09168264,68.36040953,0,LSP,12.725,0.91,0.92,0,13.96,0.00000000077320367,2.8443,PowerLaw,2.84,1208.385,0,0,0
1621,3FGL J0332.0+6308,GB6 J0331+6307,,bcu II,52.97465041666665,63.137266666666676,0,ISP,14.15,1,0.82,0,8.52,0.00000000086561125,2.331,PowerLaw,2.33,42.8647,0,0,0
1622,3FGL J0333.9+6538,TXS 0329+654,5BZBJ0333+6536,bll,53.48640728,65.61560687,0,HSP,15.2,1,0.92,0.88,11.66,0.0000000008832991,1.9419,PowerLaw,1.94,288.4913,1.66e- 12,0,0
1623,3FGL J0352.9+5655,GB6 J0353+5654,,bcu II,58.2898886708,56.9085921722,0,HSP,16.315,1,0.82,0,7.59,0.00000000054525723,1.8331,PowerLaw,1.83,58.3608,0,0,0
1624,3FGL J0354.1+4643,B3 0350+465,,bcu III,58.625048525,46.7218751028,0,-,0,0.98,0.9,0,5.2,0.00000000052221416,2.3803,PowerLaw,2.38,759.7496,0,0,0
1625,3FGL J0358.8+6002,TXS 0354+599,,fsrq,59.76100003,60.08946346,0.455,LSP,13.068,0.99,0.92,0.83,9.89,0.00000000089268637,2.5178,PowerLaw,2.52,953.3666,3.88e- 12,0,0
1626,3FGL J0418.5+3813c,3C 111,,rdg,64.58865515,38.02661117,0.0485,-,0,0.96,0.95,0.81,10.63,0.00000000073353523,2.7867,PowerLaw,2.79,7731.3604,1.42e- 11,0,0
